NOM_PRODUIT,CATEGORIE,P_UNITAIRE
Rillettes de volaille,Charcuterie,1500
Pâté de campagne,Charcuterie,1200
Terrine de sanglier,Charcuterie,1700
Sachet de graines de chia,Condiment,1000
Jambon de Vendée,Charcuterie,1500
Pot de moutarde,Condiment,500
Jambon de Luxeuil,Charcuterie,2000
Saucisson de Lyon,Charcuterie,1400
Barre de chocolat Milka,Chocolat,750
Baume après-rasage Gillette,Produits de rasage,700
Sachet de thé à la menthe,Thé,500
Crème solaire visage La Roche-Posay,Produits de protection solaire,2000
Rillettes de thon,Charcuterie,1500
Paquet de couches Pampers,Hygiène,2500
Petite bouteille de Coca-Cola,Boisson,500
Bouteille de bière Guinness,Bière,1000
Sachet de sel,Condiment,500
Saucisson sec,Charcuterie,1500
Lait hydratant pour le corps Johnson's,Produits de soin pour le corps,1000
Démaquillant yeux waterproof Garnier,Produits de démaquillage,1200
Petite bouteille de Coca-Cola,Boisson,500
Gel douche exfoliant Nivea,Produits de douche,1200
Déodorant roll-on sans alcool Nivea,Produits d'hygiène,800
Crème solaire Nivea,Produits de protection solaire,2000
Paquet de biscuits Petit Beurre,Biscuits,1000
Rillettes de veau,Charcuterie,1500
Saucisse de volaille,Charcuterie,1600
Crème de jour hydratante Nivea,Produits de soin pour le visage,1200
Sachet de lait en poudre Nido,Lait,1500
Pâté de chevreuil,Charcuterie,1800
Pain de mie Jacques,Alimentation,750
Déodorant roll-on sans alcool Nivea,Produits d'hygiène,800
Saucisson à l'anis,Charcuterie,1400
Dentifrice blancheur Oral-B,Produits d'hygiène dentaire,500
Jambon de l'Ardèche,Charcuterie,2000
Jambon de Luxeuil,Charcuterie,2000
Sac de farine de blé,Alimentation,1500
Pâté de lapin,Charcuterie,1300
Boîte de thé matcha,Thé,1500
Gel douche nourrissant à l'huile d'amande Neutrogena,Produits de douche,1200
Saucisse de Strasbourg,Charcuterie,1600
Boîte de céréales Kellogg's,Céréales,1500
Sachet de thé Lipton,Thé,500
Crème raffermissante pour le corps Garnier,Produits de soin pour le corps,2000
Déodorant spray fraîcheur instantanée Nivea,Produits d'hygiène,800
Paquet de biscuits Petit Beurre,Biscuits,1000
Mortadelle,Charcuterie,1700
Savon exfoliant Neutrogena,Produits de douche,1000
Saucisse sèche,Charcuterie,1700
Pain de mie Jacques,Alimentation,750
Boîte de mouchoirs en papier Tempo,Hygiène,750
Déodorant stick Narta,Produits d'hygiène,800
Bouteille de bière Guinness,Bière,1000
Crème pour les pieds Scholl,Produits de soin pour les pieds,1500
Shampooing doux sans sulfates Timotei,Produits de soin capillaire,1500
Pâté de lapin aux herbes de Provence,Charcuterie,1800
Jambon de la Forêt Noire,Charcuterie,2000
Lingettes démaquillantes apaisantes Nivea,Produits de démaquillage,800
Shampooing volumisant Schwarzkopf,Produits de soin capillaire,1800
Lingettes démaquillantes Nivea,Produits de démaquillage,800
Bouteille de lait frais Lactel,Lait,1000
Pâté de lapin aux noix,Charcuterie,1800
Gel douche relaxant à la lavande L'Occitane,Produits de douche,1200
Sachet de graines de sésame,Condiment,750
Paquet de popcorn sucré,Snack,750
Jambon des Ardennes,Charcuterie,2000
Rillettes de dinde,Charcuterie,1300
Rillettes de dinde,Charcuterie,1300
Terrine de pigeon,Charcuterie,1700
Baume nourrissant pour les mains L'Occitane,Produits de soin pour les mains,1000
Sachet de popcorn,Snack,500
Crème raffermissante pour le corps Garnier,Produits de soin pour le corps,2000
Shampooing anti-pelliculaire Vichy,Produits de soin capillaire,1500
Pâté de volaille,Charcuterie,1200
Paquet de chips Lay's,Snack,750
Jambon de Vendée,Charcuterie,1500
Saucisse fumée,Charcuterie,1400
Gel coiffant L'Oréal,Produits de coiffure,1500
Petite bouteille de Coca-Cola,Boisson,500
Gel douche relaxant à la lavande L'Occitane,Produits de douche,1200
Rillettes de dinde,Charcuterie,1300
Gel coiffant effet brillant Schwarzkopf,Produits de coiffure,1500
Soin liftant contour des yeux L'Oréal,Produits de soin pour le visage,2500
Terrine de faisan aux raisins,Charcuterie,1700
Crème solaire Nivea,Produits de protection solaire,2000
Soin liftant contour des yeux L'Oréal,Produits de soin pour le visage,2500
Bouteille de sauce tomate,Condiment,500
Shampooing hydratant Timotei,Produits de soin capillaire,1500
Crème solaire peaux sensibles Avène,Produits de protection solaire,2000
Saucisson à la noisette,Charcuterie,1700
Rillettes de dinde,Charcuterie,1300
Lotion purifiante pour le visage L'Oréal,Produits de soin pour le visage,1200
Lingettes démaquillantes apaisantes Nivea,Produits de démaquillage,800
Saucisse de Morteau,Charcuterie,1600
Pâté de campagne,Charcuterie,1200
Bouteille de sauce soja,Condiment,1000
Boîte de pâte de tomate,Condiment,750
Pot de crème hydratante Nivea,Hygiène,1500
Coppa,Charcuterie,1600
Terrine de biche,Charcuterie,1700
Gel coiffant L'Oréal,Produits de coiffure,1500
Pâté de lapin aux herbes de Provence,Charcuterie,1800
Lotion anti-rougeurs pour le visage Avène,Produits de soin pour le visage,1200
Déodorant sans aluminium Nivea,Produits d'hygiène,800
Saucisse de Strasbourg,Charcuterie,1700
Crème de nuit nourrissante Nivea,Produits de soin pour le visage,1200
Sachet de riz Mama Africa,Alimentation,2000
Saucisson à la noisette,Charcuterie,1700
Saucisse de volaille,Charcuterie,1600
Shampooing anti-pelliculaire Head & Shoulders,Produits de soin capillaire,1500
Sachet de paprika,Condiment,500
Rosette,Charcuterie,1800
Jambon de Luxeuil,Charcuterie,2000
Saucisse de Francfort,Charcuterie,1000
Crème réparatrice pour les mains Neutrogena,Produits de soin pour les mains,1000
Bouteille de jus d'orange Jafpp,Jus,1500
Crème solaire visage La Roche-Posay,Produits de protection solaire,2000
Gel douche exfoliant au sel marin Neutrogena,Produits de douche,1200
Gel douche relaxant L'Occitane,Produits de douche,1200
Saucisson à l'anis,Charcuterie,1400
Crème pour les pieds à l'urée Scholl,Produits de soin pour les pieds,1500
Sac de croquettes pour chat Whiskas,Animaux,1500
Saucisse de porc,Charcuterie,1600
Bouteille de bière Guinness,Bière,1000
Sérum hydratant Vichy,Produits de soin pour le visage,3000
Sac de croquettes pour chat Whiskas,Animaux,1500
Pâté de lièvre,Charcuterie,1800
Sachet de poivre noir,Condiment,500
Jambon de la Forêt Noire,Charcuterie,2000
Pâté de lapin aux pistaches,Charcuterie,1800
Paquet de biscottes,Biscuits,750
Boîte de céréales Kellogg's,Céréales,1500
Crème pour les pieds à l'urée Scholl,Produits de soin pour les pieds,1500
Crème solaire visage La Roche-Posay,Produits de protection solaire,2000
Masque purifiant à l'argile L'Oréal,Produits de soin pour le visage,1800
Saucisson à la noisette,Charcuterie,1700
Crème réparatrice Cicabiafine,Produits de soin pour le corps,1500
Crème anti-cellulite Garnier,Produits de soin pour le corps,2000
Lait hydratant pour le corps Johnson's,Produits de soin pour le corps,1000
Saucisse de canard,Charcuterie,1600
Saucisse de Morteau,Charcuterie,1600
Chorizo,Charcuterie,2000
Sachet de lessive Skip,Hygiène,750
Pâté de lapin aux pistaches,Charcuterie,1800
Saucisson de Lyon,Charcuterie,1400
Sachet de thé à la menthe,Thé,500
Paquet de chips Tortilla,Snack,1000
Bouteille de jus de pomme,Jus,1500
Sachet de lait en poudre Nido,Lait,1500
Pot de yaourt Danone,Produits laitiers,750
Terrine de biche,Charcuterie,1700
Soin liftant contour des yeux L'Oréal,Produits de soin pour le visage,2500
Lingettes démaquillantes réutilisables Garnier,Produits de démaquillage,800
Jambon blanc,Charcuterie,1000
Sachet de paprika,Condiment,500
Saucisson à la figue,Charcuterie,1600
Crème solaire enfant biodégradable Uriage,Produits de protection solaire,2000
Sachet de sel,Condiment,500
Terrine de pigeon,Charcuterie,1700
Saucisson à l'ail,Charcuterie,1300
Pâté de lièvre,Charcuterie,1800
Saucisse de foie,Charcuterie,1800
Baume après-rasage hydratant Nivea,Produits de rasage,700
Pâté de marcassin aux champignons,Charcuterie,1800
Crème de jour anti-taches Nivea,Produits de soin pour le visage,1200
Coppa,Charcuterie,1600
Baume après-rasage hydratant Nivea,Produits de rasage,700
Boîte de pâte de tomate,Condiment,750
Lotion apaisante après-rasage Nivea,Produits de rasage,700
Crème raffermissante pour le corps Garnier,Produits de soin pour le corps,2000
Paquet de biscuits au chocolat,Biscuits,1000
Sac de croquettes pour chien Pedigree,Animaux,2000
Pain de mie Jacques,Alimentation,750
Crème solaire enfants Uriage,Produits de protection solaire,2000
Paquet de muesli,Alimentation,1000
Rillettes de lapin,Charcuterie,1300
Boîte de céréales pour petit déjeuner,Alimentation,1500
Poulet entier fermier,Viande,3000
Gel douche relaxant L'Occitane,Produits de douche,1200
Démaquillant waterproof Maybelline,Produits de démaquillage,1200
Rillettes de thon au basilic,Charcuterie,1500
Rillettes de canard,Charcuterie,1400
Démaquillant bi-phasé waterproof Nivea,Produits de démaquillage,1200
Shampooing hydratant Timotei,Produits de soin capillaire,1500
Rillettes d'oie,Charcuterie,1500
Shampooing hydratant Pantene,Produits de soin capillaire,1500
Gel coiffant effet mouillé Schwarzkopf,Produits de coiffure,1500
Pâté de perdreau,Charcuterie,1800
Saucisse au poivre,Charcuterie,1600
Crème solaire Nivea,Produits de protection solaire,2000
Sachet de sucre roux,Sucrerie,500
Pâté de marcassin aux airelles,Charcuterie,1800
Sachet de riz Mama Africa,Alimentation,2000
Pâté de sanglier,Charcuterie,1800
Barre de chocolat Milka,Chocolat,750
Soin anti-rides contour des yeux L'Oréal,Produits de soin pour le visage,2500
Sachet de paprika,Condiment,500
Rillettes de canard au poivre vert,Charcuterie,1500
Sac de croquettes pour chat Whiskas,Animaux,1500
Baume après-rasage sans alcool Nivea,Produits de rasage,700
Sachet de lessive Skip,Hygiène,750
Saucisson aux noisettes,Charcuterie,1400
Terrine de sanglier,Charcuterie,1700
Lingettes rafraîchissantes pour le visage Nivea,Produits de démaquillage,800
Dentifrice bio Logodent,Produits d'hygiène dentaire,500
Baume pour les lèvres Carmex,Produits de soin des lèvres,700
Déodorant bille fraîcheur Nivea,Produits d'hygiène,800
Rillettes de thon au citron,Charcuterie,1500
Jambon des Ardennes,Charcuterie,2000
Baume après-rasage hydratant Nivea,Produits de rasage,700
Pâté de faisan,Charcuterie,1800
Sachet de chips au fromage,Snack,1000
Jambon cru,Charcuterie,1700
Démaquillant yeux waterproof Garnier,Produits de démaquillage,1200
Sérum hydratant Vichy,Produits de soin pour le visage,3000
Bouteille de sauce tomate,Condiment,500
Terrine de sanglier,Charcuterie,1700
Gel douche Nivea,Produits de douche,1200
Saucisson à la pistache,Charcuterie,1400
Crème de nuit régénérante L'Oréal,Produits de soin pour le visage,1200
Saucisse sèche,Charcuterie,1700
Lingettes démaquillantes à l'eau micellaire Garnier,Produits de démaquillage,800
Jambon de la Dombes,Charcuterie,2000
Bouteille de jus d'orange Jafpp,Jus,1500
Saucisson aux noisettes,Charcuterie,1400
Terrine de faisan aux raisins,Charcuterie,1700
Démaquillant Garnier,Produits de démaquillage,1200
Terrine de sanglier,Charcuterie,1700
Rillettes d'oie,Charcuterie,1500
Boudin noir,Charcuterie,1500
Dentifrice blanchissant Colgate,Produits d'hygiène dentaire,500
Crème solaire peaux sensibles Avène,Produits de protection solaire,2000
Soin hydratant intense pour le visage Nivea,Produits de soin pour le visage,2500
Lingettes rafraîchissantes pour le visage Nivea,Produits de démaquillage,800
Sachet de popcorn,Snack,500
Rillettes de poisson,Charcuterie,1300
Gel nettoyant visage doux Nivea,Produits de soin pour le visage,1800
Boîte de conserve de thon Petit Navire,Poisson,1000
Paquet de riz long grain,Alimentation,1000
Saucisse de volaille,Charcuterie,1600
Rillettes de saumon,Charcuterie,1500
Sachet de pâtes de curry rouge,Condiment,750
Jambon de Parme,Charcuterie,2000
Lait hydratant pour le corps Johnson's,Produits de soin pour le corps,1000
Lingettes rafraîchissantes pour le visage Nivea,Produits de démaquillage,800
Lingettes démaquillantes à l'eau micellaire Garnier,Produits de démaquillage,800
Jambon de Savoie,Charcuterie,2000
Paquet de lentilles,Alimentation,750
Gel nettoyant visage doux Nivea,Produits de soin pour le visage,1800
Jambon des Ardennes,Charcuterie,2000
Baume nourrissant pour les mains Nuxe,Produits de soin pour les mains,1000
Shampooing anti-pelliculaire Vichy,Produits de soin capillaire,1500
Lotion tonique adoucissante Garnier,Produits de soin pour le visage,1200
Saucisson aux herbes,Charcuterie,1400
Pâté de chevreuil,Charcuterie,1800
Saucisson à la pistache,Charcuterie,1400
Saucisson aux herbes,Charcuterie,1400
Gel douche exfoliant Nivea,Produits de douche,1200
Jambon de Parme,Charcuterie,2000
Sachet de thé vert,Thé,500
Saucisson à l'ail,Charcuterie,1300
Dentifrice reminéralisant Elmex,Produits d'hygiène dentaire,500
Déodorant anti-transpirant Vichy,Produits d'hygiène,800
Jambon de la Forêt de Marly,Charcuterie,2000
Saucisse de foie,Charcuterie,1800
Dentifrice Signal,Produits d'hygiène dentaire,500
Boîte de haricots verts en conserve,Condiment,750
Crème de jour hydratante et protectrice Nivea,Produits de soin pour le visage,1200
Soin hydratant intense pour le visage Nivea,Produits de soin pour le visage,2500
Saucisse de Morteau,Charcuterie,1600
Terrine de faisan,Charcuterie,1700
Gel douche hydratant à la grenade Neutrogena,Produits de douche,1200
Terrine de chevreuil,Charcuterie,1700
Sachet de thé vert,Thé,500
Pain de mie Jacques,Alimentation,750
Jambon de la Forêt de Marly,Charcuterie,2000
Shampooing fortifiant L'Oréal,Produits de soin capillaire,1800
Coppa,Charcuterie,1600
Saucisse au poivre,Charcuterie,1600
Boîte de mouchoirs en papier Kleenex,Hygiène,1000
Jambon de Parme,Charcuterie,2000
Lotion tonique adoucissante Garnier,Produits de soin pour le visage,1200
Sachet de graines de chia,Condiment,1000
Crème de jour anti-rides Nivea,Produits de soin pour le visage,1200
Terrine de gibier,Charcuterie,1500
Démaquillant pour les yeux bi-phasé Nivea,Produits de démaquillage,1200
Paquet de chips Lay's,Snack,750
Déodorant roll-on sans alcool Nivea,Produits d'hygiène,800
Démaquillant pour les yeux bi-phasé Nivea,Produits de démaquillage,1200
Gel coiffant effet brillant Schwarzkopf,Produits de coiffure,1500
Shampooing réparateur Elsève,Produits de soin capillaire,1500
Paquet de chips Pringles,Snack,1000
Shampooing fortifiant L'Oréal,Produits de soin capillaire,1800
Pâté de campagne,Charcuterie,1200
Mortadelle,Charcuterie,1700
Bouteille de vinaigre blanc,Condiment,750
Crème réparatrice pour les pieds Scholl,Produits de soin pour les pieds,1500
Baume après-rasage hydratant Nivea,Produits de rasage,700
Lotion anti-âge pour le visage L'Oréal,Produits de soin pour le visage,1200
Gel nettoyant visage doux Nivea,Produits de soin pour le visage,1800
Rillettes de thon au citron,Charcuterie,1500
Soin anti-rides contour des yeux L'Oréal,Produits de soin pour le visage,2500
Lingettes démaquillantes apaisantes Nivea,Produits de démaquillage,800
Démaquillant yeux waterproof Garnier,Produits de démaquillage,1200
Terrine de gibier,Charcuterie,1500
Pâté de lapin aux noix,Charcuterie,1800
Crème de jour anti-rides Nivea,Produits de soin pour le visage,1200
Crème pour les mains Neutrogena,Produits de soin pour les mains,1000
Sachet de popcorn,Snack,500
Boîte de mouchoirs en papier Kleenex,Hygiène,1000
Mortadelle,Charcuterie,1700
Terrine de perdreau,Charcuterie,1700
Crème solaire enfants Uriage,Produits de protection solaire,2000
Paquet de chips Tortilla,Snack,1000
Saucisson à l'Armagnac,Charcuterie,1400
Pâté de marcassin,Charcuterie,1900
Jambon des Ardennes,Charcuterie,2000
Crème hydratante Nivea,Produits de soin pour le corps,1000
Jambon de la Dombes,Charcuterie,2000
Gel douche Nivea,Produits de douche,1200
Jambon de Luxeuil,Charcuterie,2000
Sachet de thé rooibos,Thé,500
Gel douche exfoliant Nivea,Produits de douche,1200
Saucisse de Morteau,Charcuterie,1600
Dentifrice reminéralisant Elmex,Produits d'hygiène dentaire,500
Sachet de levure chimique,Condiment,500
Rillettes d'oie,Charcuterie,1500
Crème réparatrice Cicabiafine,Produits de soin pour le corps,1500
Rillettes de truite,Charcuterie,1500
Dentifrice protection gencives Parodontax,Produits d'hygiène dentaire,500
Gel douche relaxant L'Occitane,Produits de douche,1200
Pot de moutarde,Condiment,500
Pâté de lapin aux pistaches,Charcuterie,1800
Pot de confiture Bonne Maman,Condiment,1500
Pâté de marcassin,Charcuterie,1900
Baume à lèvres Labello,Produits de soin des lèvres,700
Saucisson à la noisette,Charcuterie,1700
Spray corporel Axe,Produits de soin pour le corps,800
Pâté de faisan,Charcuterie,1800
Gel douche Nivea,Produits de douche,1200
Terrine de biche,Charcuterie,1700
Lotion anti-imperfections Garnier,Produits de soin pour le visage,1200
Gel nettoyant visage doux Nivea,Produits de soin pour le visage,1800
Boîte de céréales Kellogg's,Céréales,1500
Démaquillant yeux bi-phasé waterproof L'Oréal,Produits de démaquillage,1200
Dentifrice blancheur Oral-B,Produits d'hygiène dentaire,500
Boîte de kleenex,Hygiène,1000
Sac de riz Basmati,Alimentation,4000
Saucisson à l'Espelette,Charcuterie,1400
Rillettes de volaille,Charcuterie,1500
Saucisse de Morteau,Charcuterie,1600
Crème pour les pieds Scholl,Produits de soin pour les pieds,1500
Jambon des Ardennes,Charcuterie,2000
Shampooing volumateur Timotei,Produits de soin capillaire,1500
Rillettes de truite,Charcuterie,1500
Crème pour les mains Neutrogena,Produits de soin pour les mains,1000
Terrine de canard,Charcuterie,1700
Sachet de chips au fromage,Snack,1000
Saucisse de veau,Charcuterie,1600
Soin anti-fatigue pour le visage Nivea,Produits de soin pour le visage,2500
Saucisson à la noisette,Charcuterie,1700
Soin hydratant matifiant Vichy,Produits de soin pour le visage,2500
Rillettes d'oie,Charcuterie,1500
Jambon de Parme,Charcuterie,2000
Rillettes de veau,Charcuterie,1500
Spray corporel Axe,Produits de soin pour le corps,800
Saucisse de dinde,Charcuterie,1600
Sachet de graines de sésame,Condiment,750
Dentifrice blancheur Oral-B,Produits d'hygiène dentaire,500
Paquet de biscuits au chocolat,Biscuits,1000
Paquet de pâtes Barilla,Alimentation,1000
Pot de mayonnaise Amora,Condiment,1000
Pâté de porc,Charcuterie,1200
Boîte de céréales Kellogg's,Céréales,1500
Baume réparateur pour les mains Biafine,Produits de soin pour les mains,1000
Pot de crème hydratante Nivea,Hygiène,1500
Crème de nuit nourrissante Nivea,Produits de soin pour le visage,1200
Sachet de pâtes de curry rouge,Condiment,750
Spray corporel Axe,Produits de soin pour le corps,800
Déodorant bille sans parfum Vichy,Produits d'hygiène,800
Dentifrice blancheur Oral-B,Produits d'hygiène dentaire,500
Démaquillant Garnier,Produits de démaquillage,1200
Boîte de thé matcha,Thé,1500
Sac de croquettes pour chat Whiskas,Animaux,1500
Mortadelle,Charcuterie,1700
Crème solaire enfant biodégradable Uriage,Produits de protection solaire,2000
Rillettes de thon au piment d'Espelette,Charcuterie,1500
Jambon des Ardennes,Charcuterie,2000
Masque capillaire Garnier,Produits de soin capillaire,1800
Baume pour les lèvres Carmex,Produits de soin des lèvres,700
Saucisson à l'ail,Charcuterie,1300
Crème anti-rides Nivea,Produits de soin pour le visage,2500
Pâté de chevreuil,Charcuterie,1800
Lotion anti-imperfections Garnier,Produits de soin pour le visage,1200
Lingettes démaquillantes apaisantes Nivea,Produits de démaquillage,800
Pâté de faisan,Charcuterie,1800
Lotion purifiante pour le visage L'Oréal,Produits de soin pour le visage,1200
Paquet de biscuits Oreo,Biscuits,1000
Paquet de riz long grain,Alimentation,1000
Lotion apaisante après-rasage Nivea,Produits de rasage,700
Gel nettoyant visage purifiant L'Oréal,Produits de soin pour le visage,1800
Shampooing volumateur Timotei,Produits de soin capillaire,1500
Gel douche nourrissant à l'huile d'amande Neutrogena,Produits de douche,1200
Paquet de chips Lay's,Snack,750
Saucisse de volaille,Charcuterie,1600
Boîte de mouchoirs en papier Tempo,Hygiène,750
Jambon de la Vallée d'Aoste,Charcuterie,2000
Gel douche hydratant Dove,Produits de douche,1200
Paquet de chips Lay's,Snack,750
Lingettes démaquillantes biodégradables à l'huile d'amande Neutrogena,Produits de démaquillage,800
Saucisse de Strasbourg,Charcuterie,1600
Crème de jour anti-rides Nivea,Produits de soin pour le visage,1200
Shampooing anti-chute Vichy,Produits de soin capillaire,1800
Pot de crème hydratante Nivea,Hygiène,1500
Terrine de chevreuil,Charcuterie,1700
Pot de pâte à tartiner Nutella,Sucrerie,2000
Lotion anti-rougeurs pour le visage Avène,Produits de soin pour le visage,1200
Terrine de gibier,Charcuterie,1500
Crème de jour anti-taches Nivea,Produits de soin pour le visage,1200
Saucisson à la noisette,Charcuterie,1700
Lingettes démaquillantes Nivea,Produits de démaquillage,800
Gel nettoyant visage purifiant Neutrogena,Produits de soin pour le visage,1800
Soin hydratant intense pour le visage Nivea,Produits de soin pour le visage,2500
Sac de riz Basmati,Alimentation,4000
Bouteille de sirop de grenadine,Boisson,750
Gel coiffant effet mouillé Schwarzkopf,Produits de coiffure,1500
Saucisson aux noisettes,Charcuterie,1400
Chorizo,Charcuterie,2000
Crème réparatrice pour les mains Neutrogena,Produits de soin pour les mains,1000
Crème de jour anti-rides Nivea,Produits de soin pour le visage,1200
Sachet de feuilles de thé,Thé,500
Bouteille de shampoing Head & Shoulders,Hygiène,1500
Saucisse de veau,Charcuterie,1600
Saucisson à l'ail,Charcuterie,1300
Gel nettoyant visage doux Nivea,Produits de soin pour le visage,1800
Saucisse de Toulouse,Charcuterie,1600
Bouteille de sirop de grenadine,Boisson,750
Jambon de Luxeuil,Charcuterie,2000
Bouteille d'eau minérale Cristaline,Eau,500
Gel nettoyant visage La Roche-Posay,Produits de soin pour le visage,1800
Pâté de sanglier,Charcuterie,1800
Terrine de faisan,Charcuterie,1700
Poulet entier fermier,Viande,3000
Boîte de conserve de thon Petit Navire,Poisson,1000
Sachet de thé rooibos,Thé,500
Gel douche nourrissant Dove,Produits de douche,1200
Bouteille d'eau minérale Cristaline,Eau,500
Terrine de lapin,Charcuterie,1600
Crème solaire enfant biodégradable Uriage,Produits de protection solaire,2000
Saucisson au genièvre,Charcuterie,1400
Rillettes de thon à l'huile d'olive,Charcuterie,1500
Démaquillant yeux waterproof Garnier,Produits de démaquillage,1200
Pâté de volaille,Charcuterie,1200
Terrine de sanglier,Charcuterie,1700
Crème solaire enfant biodégradable Uriage,Produits de protection solaire,2000
Pot de confiture Bonne Maman,Condiment,1500
Pâté de campagne,Charcuterie,1200
Soin contour des lèvres L'Oréal,Produits de soin des lèvres,700
Crème de jour anti-taches Nivea,Produits de soin pour le visage,1200
Crème réparatrice pour les pieds Scholl,Produits de soin pour les pieds,1500
Pâté de chevreuil,Charcuterie,1800
Gel douche nourrissant à l'huile d'amande Neutrogena,Produits de douche,1200
Sac de farine de blé,Alimentation,1500
Jambon d'Auvergne,Charcuterie,2000
Terrine de chevreuil,Charcuterie,1700
Démaquillant Garnier,Produits de démaquillage,1200
Dentifrice protection caries Sensodyne,Produits d'hygiène dentaire,500
Jambon de Bayonne,Charcuterie,1900
Pâté de lapin aux herbes de Provence,Charcuterie,1800
Pâté de porc,Charcuterie,1200
Paquet de couches Pampers,Hygiène,2500
Sac de riz Basmati,Alimentation,4000
Baume réparateur pour les lèvres Bepanthen,Produits de soin des lèvres,700
Gel coiffant effet mouillé Schwarzkopf,Produits de coiffure,1500
Paquet de couches Pampers,Hygiène,2500
Pâté de faisan,Charcuterie,1800
Saucisson à la figue,Charcuterie,1600
Saucisse de canard fumée,Charcuterie,1600
Bouteille de lait frais Lactel,Lait,1000
Déodorant Rexona,Produits d'hygiène,800
Lingettes rafraîchissantes pour le visage Nivea,Produits de démaquillage,800
Bouteille de vin rouge Merlot,Vin,2500
Terrine de gibier,Charcuterie,1500
Déodorant stick Narta,Produits d'hygiène,800
Rillettes de canard,Charcuterie,1400
Paquet de chips Tortilla,Snack,1000
Gel douche relaxant à la lavande L'Occitane,Produits de douche,1200
Lotion tonique purifiante Neutrogena,Produits de soin pour le visage,1200
Lingettes démaquillantes Nivea,Produits de démaquillage,800
Gel coiffant effet brillant Schwarzkopf,Produits de coiffure,1500
Crème solaire peaux sensibles Avène,Produits de protection solaire,2000
Baume pour les lèvres Carmex,Produits de soin des lèvres,700
Déodorant stick Narta,Produits d'hygiène,800
Sachet de sucre roux,Sucrerie,500
Boudin blanc,Charcuterie,1400
Démaquillant pour les yeux bi-phasé Nivea,Produits de démaquillage,1200
Terrine de biche,Charcuterie,1700
Sachet de chips au fromage,Snack,1000
Sachet de sel iodé,Condiment,500
Démaquillant yeux bi-phasé waterproof L'Oréal,Produits de démaquillage,1200
Terrine de gibier,Charcuterie,1500
Crème réparatrice Cicabiafine,Produits de soin pour le corps,1500
Baume après-rasage hydratant Nivea,Produits de rasage,700
Pâté de lapin aux noisettes,Charcuterie,1800
Jambon du Bourbonnais,Charcuterie,2000
Dentifrice blanchissant Colgate,Produits d'hygiène dentaire,500
Rillettes de thon au basilic,Charcuterie,1500
Soin liftant anti-âge L'Oréal,Produits de soin pour le visage,2500
Paquet de couches Pampers,Hygiène,2500
Soin liftant anti-âge L'Oréal,Produits de soin pour le visage,2500
Sachet de poivre noir,Condiment,500
Dentifrice Signal,Produits d'hygiène dentaire,500
Terrine de pigeon,Charcuterie,1700
Saucisse de veau,Charcuterie,1600
Saucisson à la coriandre,Charcuterie,1400
Dentifrice blancheur intense Colgate,Produits d'hygiène dentaire,500
Pâté de canard,Charcuterie,1500
Paquet de spaghetti,Alimentation,750
Saucisse de canard,Charcuterie,1600
Poulet entier fermier,Viande,3000
Poulet entier fermier,Viande,3000
Rillettes d'oie,Charcuterie,1500
Saucisse de Montbéliard,Charcuterie,1900
Saucisse de foie,Charcuterie,1800
Pâté de chevreuil,Charcuterie,1800
Jambon fumé,Charcuterie,1400
Soin contour des lèvres L'Oréal,Produits de soin des lèvres,700
Pot de crème hydratante Nivea,Hygiène,1500
Boîte de haricots verts en conserve,Condiment,750
Sachet de feuilles de thé,Thé,500
Sachet de mélange d'épices pour tajine,Condiment,750
Sac de pommes de terre,Légumes,1000
Bouteille de Jack Daniel,Liqueur,5000
Lotion hydratante pour le visage Nivea,Produits de soin pour le visage,1200
Déodorant stick Narta,Produits d'hygiène,800
Terrine de faisan,Charcuterie,1700
Barre de chocolat Milka,Chocolat,750
Paquet de couches Pampers,Hygiène,2500
Boudin noir,Charcuterie,1500
Crème anti-rides Nivea,Produits de soin pour le visage,2500
Pâté de sanglier,Charcuterie,1800
Saucisson à la figue,Charcuterie,1600
Boîte de maïs en conserve,Condiment,750
Sachet de sucre Daddy,Sucrerie,500
Soin hydratant matifiant Vichy,Produits de soin pour le visage,2500
Terrine de biche,Charcuterie,1700
Gel douche hydratant à la grenade Neutrogena,Produits de douche,1200
Terrine de pintade,Charcuterie,1600
Sachet de chips au fromage,Snack,1000
Crème anti-rides Nivea,Produits de soin pour le visage,2500
Crème solaire peaux sensibles Avène,Produits de protection solaire,2000
Sachet de piment en poudre,Condiment,500
Baume après-rasage sans alcool Nivea,Produits de rasage,700
Saucisson de Lyon,Charcuterie,1400
Coppa,Charcuterie,1600
Shampooing réparateur L'Oréal,Produits de soin capillaire,1500
Crème anti-rides Nivea,Produits de soin pour le visage,2500
Baume à cuticules Sally Hansen,Produits de soin pour les ongles,1000
Pâté de volaille,Charcuterie,1200
Lotion tonique purifiante Neutrogena,Produits de soin pour le visage,1200
Déodorant spray sans gaz propulseur Nivea,Produits d'hygiène,800
Pâté de volaille,Charcuterie,1200
Crème de nuit nourrissante Nivea,Produits de soin pour le visage,1200
Dentifrice blancheur Oral-B,Produits d'hygiène dentaire,500
Pâté de marcassin,Charcuterie,1900
Crème de jour hydratante et protectrice Nivea,Produits de soin pour le visage,1200
Terrine de pigeon,Charcuterie,1700
Soin hydratant intense pour le visage Nivea,Produits de soin pour le visage,2500
Jambon cru,Charcuterie,1700
Sachet de riz Mama Africa,Alimentation,2000
